                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1517,                 4.2238,                 1.6229,                0.39927,                0.47017,                0.36228,                0.26633,                 0.9733,                 2.4625,                 1.5282,               0.070079,              0.0033245,              0.0033245
                      1,                 0.9512,                 2.8992,                 1.4118,                0.30776,                0.56078,                0.42996,                0.30255,                 1.1574,                 2.4341,                 1.7721,               0.039948,               0.006526,               0.006526
                      2,                  1.026,                 2.6059,                 1.4585,                0.37112,                0.36508,                0.32705,                0.22751,                 1.3716,                 2.6848,                 2.0655,              0.0096837,              0.0095955,              0.0095955
                      3,                 1.1472,                 2.5467,                 1.5635,                 0.5271,                0.18583,                0.24687,                0.16854,                  1.458,                 2.8519,                 2.1042,               0.009406,               0.009406,               0.009406
                      4,                 1.1301,                 2.5033,                 1.5555,                0.44187,                0.52675,                0.52917,                0.40434,                 1.0617,                 1.9953,                 1.6965,               0.009406,               0.009406,               0.009406
                      5,                 1.1365,                 2.3635,                 1.5631,                0.41845,                0.68554,                0.64953,                0.51378,                0.96768,                 1.7231,                 1.6019,               0.009208,               0.009208,               0.009208
                      6,                 1.0935,                 2.2609,                  1.523,                0.43567,                0.75359,                0.67432,                0.53768,                0.93377,                 1.7112,                  1.512,                0.00901,                0.00901,                0.00901
                      7,                  1.071,                 2.1317,                 1.5158,                0.50414,                0.76073,                  0.697,                0.50971,                 1.0773,                 1.6958,                 1.7062,               0.008812,               0.008812,               0.008812
                      8,                 1.0444,                 2.0904,                 1.5067,                0.40606,                0.53274,                0.51379,                0.36088,                 1.4123,                 2.7091,                 2.1161,               0.008614,               0.008614,               0.008614
                      9,                 1.0526,                 2.0343,                 1.4945,                0.61942,                0.66845,                0.74402,                0.58614,                0.94177,                 1.4253,                 1.5277,               0.008416,               0.008416,               0.008416
                     10,                 1.0073,                 1.8642,                 1.4378,                0.60474,                0.79927,                0.82481,                0.66343,                0.83486,                 1.1562,                 1.4453,               0.008218,               0.008218,               0.008218
                     11,                0.97388,                 1.7888,                  1.432,                0.78087,                0.71976,                0.82041,                0.62234,                 1.0236,                 1.2132,                 1.6325,                0.00802,                0.00802,                0.00802
                     12,                0.96937,                 1.7535,                 1.4284,                 0.6311,                0.77776,                 0.8187,                0.64929,                0.96568,                 1.2675,                 1.5717,               0.007822,               0.007822,               0.007822
                     13,                0.93417,                 1.6575,                 1.3921,                 0.6669,                0.79205,                 0.8195,                0.64326,                 1.0113,                 1.1938,                 1.6039,               0.007624,               0.007624,               0.007624
                     14,                0.91392,                 1.6131,                 1.3799,                  0.731,                0.80951,                0.85682,                0.66075,                0.98841,                 1.1006,                 1.5622,               0.007426,               0.007426,               0.007426
                     15,                0.90736,                 1.5896,                 1.3664,                0.75833,                0.77411,                0.87103,                0.68621,                0.89415,                 1.0049,                 1.5154,               0.007228,               0.007228,               0.007228
                     16,                 0.9135,                 1.5491,                 1.3747,                0.68036,                0.82374,                0.87168,                 0.6897,                0.97222,                 0.9851,                 1.5725,                0.00703,                0.00703,                0.00703
                     17,                0.90553,                 1.4959,                 1.3762,                0.79584,                0.80637,                0.89192,                0.71783,                 0.8659,                0.88298,                 1.4478,               0.006832,               0.006832,               0.006832
                     18,                0.87908,                 1.4695,                 1.3496,                0.81203,                 0.8056,                0.88422,                0.71315,                0.85548,                0.86857,                 1.4177,               0.006634,               0.006634,               0.006634
                     19,                0.88076,                 1.4528,                  1.353,                0.84413,                0.79653,                0.89541,                0.68113,                 1.0004,                0.91116,                  1.686,               0.006436,               0.006436,               0.006436
                     20,                0.84253,                  1.404,                 1.3288,                0.76266,                0.81509,                0.90126,                0.69657,                0.97735,                0.88905,                 1.5613,               0.006238,               0.006238,               0.006238
                     21,                0.84302,                 1.3342,                 1.3258,                0.75575,                0.82986,                0.90235,                0.75488,                0.74818,                0.83257,                 1.3158,                0.00604,                0.00604,                0.00604
                     22,                0.84924,                 1.3752,                 1.3548,                0.80275,                0.83933,                0.90491,                 0.7078,                0.95953,                0.89341,                 1.5502,               0.005842,               0.005842,               0.005842
                     23,                0.81233,                 1.2765,                   1.29,                0.79244,                0.85117,                0.91702,                0.74657,                0.86781,                0.78656,                 1.4877,               0.005644,               0.005644,               0.005644
                     24,                0.80439,                 1.2158,                 1.2878,                0.84714,                0.81716,                0.90771,                0.71617,                0.91881,                0.85103,                 1.5104,               0.005446,               0.005446,               0.005446
